run_id,source_run,config_digest,task,morphology,controller,training_seed,n_heldout_episodes,mean_fitness,median_fitness,std_fitness,min_fitness,max_fitness
thrower__thrower_arm__nchl__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_007,691cd3937c649ebeaf7594b7d1b9612b79c9a70122cd1b677ce5f67cb5b21c91,Thrower-v0,thrower_arm,nchl,7,10,2.846266562713274,3.0883792580874214,0.4619725212544513,2.1121653454976164,3.247892499508027
thrower__thrower_arm__nchl__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_008,b2b4e331fbf1c0491321ab933836530d78932ad701d914ca63de58b7553f5a08,Thrower-v0,thrower_arm,nchl,8,10,2.762651632899693,2.943169201241431,0.4444264140143318,2.095606743197394,3.2007795008654707
thrower__thrower_arm__nchl__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_009,064a520a9f389cf91a9ee5b96699dd01f6447dcca7f78e612d01b157414d6cf4,Thrower-v0,thrower_arm,nchl,9,10,2.9016221091100967,3.0689593859997175,0.3839878349137099,2.1920493945138237,3.3598356867075863
thrower__thrower_arm__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_000,6ece6d25342b6b98baf4ceb7df4ee0fb1adca2cc73c300e75f5fc41b611155cb,Thrower-v0,thrower_arm,static,0,10,6.184064967247208,6.184064967247208,0.0,6.184064967247208,6.184064967247208
thrower__thrower_arm__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_001,46e767f4e37f17b200b32ec4ad88ebc2ce50020bd4e4a456e9b9b8f8dad12a2c,Thrower-v0,thrower_arm,static,1,10,3.419380256056791,3.4193802560567907,4.440892098500626e-16,3.4193802560567907,3.4193802560567907
thrower__thrower_arm__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_002,1df60a7c62887d6eee069f8bfab8f2c47c9bcea99bdb8b5155e45b8ba7400be8,Thrower-v0,thrower_arm,static,2,10,3.338642846875642,3.3386428468756417,4.440892098500626e-16,3.3386428468756417,3.3386428468756417
thrower__thrower_arm__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_003,c95209fe44a5983bdc5726497bb9b6962eed5764ed119cd29bef7c4deaea1b1e,Thrower-v0,thrower_arm,static,3,10,4.444024351573178,4.444024351573179,8.881784197001252e-16,4.444024351573179,4.444024351573179
thrower__thrower_arm__static__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_004,b06f28efcacfec3b07cdba209fba942ea3cab7698aa073dcdc8d05184f97c944,Thrower-v0,thrower_arm,static,4,10,6.1468586398868235,6.1468586398868235,0.0,6.1468586398868235,6.1468586398868235
thrower__thrower_arm__static__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_005,0064e07613b39b0530b3642f86795ded55f91ce48b9556495aaaaac138946111,Thrower-v0,thrower_arm,static,5,10,3.3889496686920446,3.3889496686920446,0.0,3.3889496686920446,3.3889496686920446
thrower__thrower_arm__static__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_006,bc316b167c5f36fda1a0a24a6a99c16322d9a7aadfc000014e7dfaa729d79a3e,Thrower-v0,thrower_arm,static,6,10,3.400911609292849,3.4009116092928484,4.440892098500626e-16,3.4009116092928484,3.4009116092928484
thrower__thrower_arm__static__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_007,8e7330b99b404d7b495394d15dbcf66d01526a3d5a2e805279242cde8f3f82fc,Thrower-v0,thrower_arm,static,7,10,4.404721461115495,4.404721461115495,0.0,4.404721461115495,4.404721461115495
thrower__thrower_arm__static__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_008,458a7d7d8c4a385f29200375549ec758d80103986b2f8c128bfa589f608dbaeb,Thrower-v0,thrower_arm,static,8,10,3.3236783478214944,3.3236783478214944,0.0,3.3236783478214944,3.3236783478214944
